# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Restore "redo" states that were discarded by accidentally modifying your scene after pressing "undo".  Modifying the scene a second time will cause them to be permanently deleted.;恢复在按下“撤销”后因意外修改场景而被丢弃的“重做”状态。第二次修改场景将导致它们被永久删除。
Returns to the previous/home frame when playback stops.;播放停止时返回上一帧/起始帧。
Select render/fill mode of vector shapes.;选择矢量形状的渲染/填充模式。
Select the input map type which will be used to generate the selection. An appropriate input map will need to be loaded in the texture project for this to function.;选择用于生成选区的输入贴图类型。为此功能正常工作，需要在纹理项目中加载相应的输入贴图。
Select which multi-texture/UDIM tiles this layer modifies.;选择此图层修改哪些多纹理/UDIM 图块。
Selects a mode for painting directly in the viewport. "UV" mode will paint into the texture space of the selected triangle, while "3D" mode will apply the brush to all surrounding geometry.;选择直接在视口中绘制的模式。“UV”模式将绘制到所选三角形的纹理空间中，而“3D”模式会将画笔应用于所有周围的几何体。
Selects which material is applied to the low poly meshes, for use with "Low to Low" baking. Source materials contain user-specified settings, and result materials are used to view baker outputs.;选择应用于低模网格的材质，用于“低模到低模”(Low to Low)烘焙。源材质包含用户指定的设置，结果材质用于查看烘焙输出。
Sets a constant color value for the emissive effect. This is useful if you do not have an emissive texture and want to assign an emissive value to the entire material.;为自发光效果设置恒定颜色值。如果你没有自发光纹理，并希望为整个材质指定自发光值，此选项非常有用。
Sets how sensitive the conversion from specular reflectivity to metalness is. This only applies if your project references source materials that use the specular workflow.;设置从高光反射率到金属度的转换灵敏度。仅当你的项目引用了使用高光工作流的源材质时才适用。
Sets pixel density for the viewport display. Lower values will run much faster. The "High DPI" option will render at native monitor resolution, which can be costly on high resolution displays.;设置视口显示的像素密度。较低的值运行速度会快得多。“高 DPI”选项将以显示器原生分辨率渲染，在高分辨率显示器上可能开销较大。
Sets the "color" of the index of refraction value, which is required for certain metals. This effectively adjusts the index of refraction separately for red, green, and blue color channels.;设置折射率值的“颜色”，某些金属需要此值。这实际上分别调整红、绿、蓝颜色通道的折射率。
Sets the degree to which light darkens as it passes through a material. The higher the value, the more reflective the material becomes. This value is necessary for certain metals.;设置光穿过材质时的变暗程度。值越大，材质反射性越强。此值对某些金属是必需的。
Sets the exposure of the background image in relation to the master sky light brightness setting. This setting does not apply when the backdrop mode is set to color.;设置背景图像相对于主天光亮度设置的曝光度。当背景模式设置为颜色时，此设置不适用。
Sets the gray point, zero point, or "no-displacement" point of the height/depth map. Values above this threshold will displace outward, while values below it will appear to displace inward.;设置高度/深度贴图的灰点、零点或“无置换”点。高于此阈值的值将向外置换，低于此值的值将显示为向内置换。
Sets the intensity of the chromatic aberration effect, which simulates how different colored light waves converge at different points, resulting in color fringing towards the edges of the frame.;设置色差效果的强度，该效果模拟不同颜色的光波在不同点汇聚，从而在画面边缘产生彩色边缘。
Sets the middle point of the contrast curve. As contrast is increased, values greater than this "center" value get brighter, while values less than "center" get darker.;设置对比度曲线的中点。随着对比度增加，大于此“中心”值的部分会变亮，小于“中心”值的部分会变暗。
Sets the range at which reflectivity values are converted to insulators and metals respectively. This only applies if your project references source materials that use the specular workflow.;设置反射率值分别转换为绝缘体和金属的范围。仅当你的项目引用了使用高光工作流的源材质时才适用。
Sets the sky direction. Applies to sky lighting, child lights, background image and any objects parented to the sky object. Sky rotation can be set via Shift+LMB Drag in the viewport as well.;设置天空方向。适用于天光、子灯光、背景图像以及任何父级为天空对象的物体。也可以通过视口中的 Shift+鼠标左键拖拽来设置天空旋转。
Sets whether the 'Rendered in Marmoset Toolbag' watermark is hidden in the viewport. If "Use Watermark" is enabled the watermark will still be applied to the exported image.;设置“Rendered in Marmoset Toolbag”水印是否在视口中隐藏。如果启用了“使用水印”，水印仍会应用于导出的图像。
Sets whether this texture map should be loaded in sRGB/gamma space or linear space.;设置此纹理贴图应在 sRGB/伽马空间还是线性空间中加载。
Sets whether this texture uses mip-mapping, which swaps in lower-resolution versions of the texture when viewed from a distance. Disabling this usually decreases performance and image quality.;设置此纹理是否使用 mip 映射，即从远处查看时切换为低分辨率版本的纹理。关闭此选项通常会降低性能和图像质量。
Specify how much the glints are smoothed in the direction of the hair normal. Too low values will concentrate the glint;while setting it too high will spread the light across the width of the strand.;指定闪烁在毛发法线方向上的平滑程度。值过低会使闪烁集中；值过高则会将光线散布到发丝的宽度上。
Standard normal mapping for per-pixel lighting, plus parallax map slot to fake depth/displacement mapping.;用于逐像素照明的标准法线贴图，外加用于模拟深度/置换贴图的视差贴图槽位。
The emissive heat model is an advanced method for creating glowing surfaces using the kelvin scale to define temperature, which in turn controls the color of the effect.;自发光热量模型是一种高级方法，用于使用开尔文标度定义温度来创建发光表面，温度进而控制效果的颜色。
The texture used to specify surface curvature. This value is generally used for material authoring more than rendering, and is supplied here mainly for use by the painting system.;用于指定表面曲率的纹理。此值通常更多用于材质制作而非渲染，此处提供它主要是供绘画系统使用。
This is your marmoset login for Toolbag, and must be a valid email address. If you do not yet have an account, enter your email address here and you will receive a confirmation email to create one.;这是你的 Toolbag Marmoset 登录名，必须是有效的电子邮件地址。如果你还没有账户，请在此处输入电子邮件地址，你将收到一封用于创建账户的确认邮件。
Toggles automatic recording of keyframes. Keyframes will be recorded for the current frame when a change is detected for most parameters of your selected object.;切换关键帧的自动记录。当检测到所选对象的大多数参数发生变化时，将记录当前帧的关键帧。
Use end tiles at the start/end point of a closed loop.;在闭合循环的起点/终点使用末端图块。
Use this option to provide your login credentials automatically to all users on this machine. If this option remains unchecked, then other users will have to enter their own logins.;使用此选项可自动为本机上的所有用户提供登录凭据。如果保持未勾选状态，则其他用户将需要输入各自的登录信息。
Use to switch between a variety of post effect presets. Save a preset file to /data/post/ and it will show up in the preset list the next time Toolbag is opened.;用于在各种后期效果预设之间切换。将预设文件保存到 /data/post/，下次打开 Toolbag 时它就会出现在预设列表中。
Uses an advanced ray-tracing technique to fill in shadows where objects intersect or overlap. This is used to complement shadow mapping and can help to fill shadow "gaps".;使用高级光线追踪技术来填充物体相交或重叠处的阴影。这用于补充阴影贴图，并可帮助填补阴影“缝隙”。
Uses artifact-free compression for normal map textures. This will result in larger scene files, and should therefore only be used for scenes where normal accuracy is a high priority.;对法线贴图纹理使用无伪影压缩。这会导致场景文件变大，因此只应用于法线精度要求较高的场景。
When checked, camera move speed is determined automatically based on scene size. For complex environments, it can be helpful to disable this, and set move speed manually.;勾选后，摄像机移动速度将根据场景大小自动确定。对于复杂环境，关闭此选项并手动设置移动速度可能会有所帮助。
